"gene","importance","Non-unique Gene name","Annotation"
"group_11251",5.6924540455543e-05,"papB","Major pilu subunit operon regulatory protein PapB"
"arcA_1~~~arcA_2",5.69190173141079e-05,"arcA_1;arcA_2","Arginine deiminase"
"group_19197",5.65760529313759e-05,"","hypothetical protein"
"wzzB~~~wzzB_2~~~wzzB_1~~~wzzE_1",5.65539922493814e-05,"wzzB;;wzzB_2;wzzB_1;wzzE_1","Chain length determinant protein;hypothetical protein;ECA polysaccharide chain length modulation protein"
"group_7179",5.57382717753112e-05,"","hypothetical protein"
"manC1",5.57235327268111e-05,";manC1","hypothetical protein;Mannose-1-phosphate guanylyltransferase 1"
"mntH_2",5.55428827572284e-05,"mntH_2","Divalent metal cation transporter MntH"
"group_2968",5.54984518880446e-05,"","hypothetical protein"
"group_31722",5.53476830040935e-05,"","hypothetical protein"
"fluC_1~~~fluC_2",5.53130957143262e-05,"fluC_1;fluC_2","Fluoride-specific ion channel FluC"
"group_19198",5.4928276281929e-05,"","hypothetical protein"
"group_5740",5.46497524765146e-05,"","hypothetical protein"
"group_6877",5.46232875461108e-05,"","hypothetical protein"
"group_6093",5.41703865812699e-05,"","hypothetical protein"
"ramA",5.40144944228615e-05,";ramA","hypothetical protein;Transcriptional regulator RamA"
"hsdR_2~~~hsdR_1~~~hsdR~~~hsdR_4",5.39915968514888e-05,"hsdR_2;hsdR_1;hsdR;;hsdR_4","Type I restriction enzyme EcoR124I/EcoR124II endonuclease subunit;hypothetical protein"
"group_31720",5.38969953697799e-05,"","hypothetical protein"
"polC~~~dnaQ_1~~~dnaQ_2",5.35584792292552e-05,"polC;dnaQ_1;dnaQ_2","DNA polymerase III PolC-type;DNA polymerase III subunit epsilon"
"group_1224",5.35259392072813e-05,"","hypothetical protein"
"group_2939",5.31093201977604e-05,"","hypothetical protein"
"group_2239",5.30404144861054e-05,"","hypothetical protein"
"group_11252",5.29352411353703e-05,"","hypothetical protein"
"group_2934",5.28563629461753e-05,"","hypothetical protein"
"group_8909",5.27856379601714e-05,"","hypothetical protein"
